EnergyGurus,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Monitoring 12 Hours Package Plan,,,,,,,,,,,Monitoring 24 Hours Package Plan,,,,,,,,,,,
Subscription,Basic - Monthly,,,Moderate - Monthly,,,Comprehensive - Monthly,,,,Subscription,Basic - Monthly,,,Moderate - Monthly,,,Comprehensive - Monthly,,,,
System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,
1 – 10 kW,"1,000",50,"1,050","1,800",90,"1,890","3,000",150,"3,150",,1 – 10 kW,"2,000",100,"2,100","3,600",180,"3,780","6,000",300,"6,300",,
10 – 20 kW,"1,250",63,"1,313","2,250",113,"2,363","3,750",188,"3,938",,10 – 20 kW,"2,500",125,"2,625","4,500",225,"4,725","7,500",375,"7,875",,
20 – 30 kW,"1,500",75,"1,575","2,700",135,"2,835","4,500",225,"4,725",,20 – 30 kW,"3,000",150,"3,150","5,400",270,"5,670","9,000",450,"9,450",,
30 kW & Above,0,0,0,0,0,0,0,0,0,,30 kW & Above,0,0,0,0,0,0,0,0,0,,
20% Discount on Quarterly payment,,,,,,,,,,,20% Discount on Quarterly payment,,,,,,,,,,,
Subscription,Basic - Quarterly,,,Moderate - Quarterly,,,Comprehensive - Quaterly,,,,Subscription,Basic - 12/hrs Quarterly,,,Moderate - 12/hrs Quarterly,,,Comprehensive - 12/hrs Quaterly,,,,
System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,
1 – 10 kW,"2,400",120,"2,520","4,320",216,"4,536","7,200",360,"7,560",,1 – 10 kW,"4,800",240,"5,040","8,640",432,"9,072","14,400",720,"15,120",,
10 – 20 kW,"3,000",150,"3,150","5,400",270,"5,670","9,000",450,"9,450",,10 – 20 kW,"6,000",300,"6,300","10,800",540,"11,340","18,000",900,"18,900",,
20 – 30 kW,"3,600",180,"3,780","6,480",324,"6,804","10,800",540,"11,340",,20 – 30 kW,"7,200",360,"7,560","12,960",648,"13,608","21,600","1,080","22,680",,
30 kW & Above,0,0,0,0,0,0,0,0,0,,30 kW & Above,0,0,0,0,0,0,0,0,0,,
40% Discount on Half Yearly payment,,,,,,,,,,,40% Discount on Half Yearly payment,,,,,,,,,,,
Subscription,Basic - Half Yearly,,,Moderate - Half Yearly,,,Comprehensive - Half Yearly,,,,Subscription,Basic - Half Yearly,,,Moderate - Half Yearly,,,Comprehensive - Half Yearly,,,,
System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,
1 – 10 kW,"3,600",180,"3,780","6,480",324,"6,804","10,800",540,"11,340",,1 – 10 kW,"7,200",360,"7,560","12,960",648,"13,608","21,600","1,080","22,680",,
10 – 20 kW,"4,500",225,"4,725","8,100",405,"8,505","13,500",675,"14,175",,10 – 20 kW,"9,000",450,"9,450","16,200",810,"17,010","27,000","1,350","28,350",,
20 – 30 kW,"5,400",270,"5,670","9,720",486,"10,206","16,200",810,"17,010",,20 – 30 kW,"10,800",540,"11,340","19,440",972,"20,412","32,400","1,620","34,020",,
30 kW & Above,0,0,0,0,0,0,0,0,0,,30 kW & Above,0,0,0,0,0,0,0,0,0,,
60% Discount on Yearly payment,,,,,,,,,,,60% Discount on Yearly payment,,,,,,,,,,,
Subscription,Basic - Yearly,,,Moderate - Yearly,,,Comprehensive - Yearly,,,,Subscription,Basic - Yearly,,,Moderate - Yearly,,,Comprehensive - Yearly,,,,
System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,System Size,Price,Sales Tax,Total,Price,Sales Tax,Total,Price,Sales Tax,Total,,
1 – 10 kW,"4,800",240,"5,040","8,640",432,"9,072","14,400",720,"15,120",,1 – 10 kW,"9,600",480,"10,080","17,280",864,"18,144","28,800","1,440","30,240",,
10 – 20 kW,"6,000",300,"6,300","10,800",540,"11,340","18,000",900,"18,900",,10 – 20 kW,"12,000",600,"12,600","21,600","1,080","22,680","36,000","1,800","37,800",,
20 – 30 kW,"7,200",360,"7,560","12,960",648,"13,608","21,600","1,080","22,680",,20 – 30 kW,"14,400",720,"15,120","25,920","1,296","27,216","43,200","2,160","45,360",,
30 kW & Above,0,0,0,0,0,0,0,0,0,,30 kW & Above,0,0,0,0,0,0,0,0,0,,
